year,level_1,level_2,level_3,value
2015,Chinese Dialects- Other Chinese Dialects,"Total","20 - 24",0.4
2015,Chinese Dialects- Other Chinese Dialects,"Total","25 - 29",0.9
2015,Chinese Dialects- Other Chinese Dialects,"Total","30 - 34",1.1
2015,Chinese Dialects- Other Chinese Dialects,"Total","35 - 39",1.7
2015,Chinese Dialects- Other Chinese Dialects,"Total","40 - 44",1.8
2015,Chinese Dialects- Other Chinese Dialects,"Total","45 - 49",2.4
2015,Chinese Dialects- Other Chinese Dialects,"Total","50 - 54",2.1
2015,Chinese Dialects- Other Chinese Dialects,"Total","55 - 59",1.7
2015,Chinese Dialects- Other Chinese Dialects,"Total","60 - 64",2
2015,Chinese Dialects- Other Chinese Dialects,"Total","65 - 69",2.5
2015,Chinese Dialects- Other Chinese Dialects,"Total","70 - 74",1.7
2015,Chinese Dialects- Other Chinese Dialects,"Total","75 & Over",8.6
2015,Malay,"Total","5 - 9",21.2
2015,Malay,"Total","10 - 14",26
2015,Malay,"Total","15 - 19",34.6
2015,Malay,"Total","20 - 24",36.8
2015,Malay,"Total","25 - 29",32.9
2015,Malay,"Total","30 - 34",26.7
2015,Malay,"Total","35 - 39",20.5
2015,Malay,"Total","40 - 44",21.1
2015,Malay,"Total","45 - 49",29.7
2015,Malay,"Total","50 - 54",33.9
2015,Malay,"Total","55 - 59",32.4
2015,Malay,"Total","60 - 64",23.4
2015,Malay,"Total","65 - 69",17.2
2015,Malay,"Total","70 - 74",8.6
2015,Malay,"Total","75 & Over",13.6
2015,Indian Languages- Total,"Total","5 - 9",11
2015,Indian Languages- Total,"Total","10 - 14",11.7
2015,Indian Languages- Total,"Total","15 - 19",8.2
2015,Indian Languages- Total,"Total","20 - 24",6.5
2015,Indian Languages- Total,"Total","25 - 29",7.3
2015,Indian Languages- Total,"Total","30 - 34",16.1
2015,Indian Languages- Total,"Total","35 - 39",20.5
2015,Indian Languages- Total,"Total","40 - 44",19.4
2015,Indian Languages- Total,"Total","45 - 49",13.4
2015,Indian Languages- Total,"Total","50 - 54",11.6
2015,Indian Languages- Total,"Total","55 - 59",8.9
2015,Indian Languages- Total,"Total","60 - 64",6.7
2015,Indian Languages- Total,"Total","65 - 69",5
2015,Indian Languages- Total,"Total","70 - 74",2.8
2015,Indian Languages- Total,"Total","75 & Over",5.3
2015,Indian Languages- Tamil,"Total","5 - 9",9.1
2015,Indian Languages- Tamil,"Total","10 - 14",9.4
2015,Indian Languages- Tamil,"Total","15 - 19",6.7
2015,Indian Languages- Tamil,"Total","20 - 24",5.4
2015,Indian Languages- Tamil,"Total","25 - 29",6.1
2015,Indian Languages- Tamil,"Total","30 - 34",10.9
2015,Indian Languages- Tamil,"Total","35 - 39",13.6
2015,Indian Languages- Tamil,"Total","40 - 44",13.6
2015,Indian Languages- Tamil,"Total","45 - 49",9.3
2015,Indian Languages- Tamil,"Total","50 - 54",8.9
2015,Indian Languages- Tamil,"Total","55 - 59",7.6
2015,Indian Languages- Tamil,"Total","60 - 64",5.6
2015,Indian Languages- Tamil,"Total","65 - 69",4.5
2015,Indian Languages- Tamil,"Total","70 - 74",2.4
2015,Indian Languages- Tamil,"Total","75 & Over",4
2015,Indian Languages- Other Indian Languages,"Total","5 - 9",1.9
2015,Indian Languages- Other Indian Languages,"Total","10 - 14",2.3
2015,Indian Languages- Other Indian Languages,"Total","15 - 19",1.5
2015,Indian Languages- Other Indian Languages,"Total","20 - 24",1.1
2015,Indian Languages- Other Indian Languages,"Total","25 - 29",1.2
2015,Indian Languages- Other Indian Languages,"Total","30 - 34",5.2
2015,Indian Languages- Other Indian Languages,"Total","35 - 39",6.9
2015,Indian Languages- Other Indian Languages,"Total","40 - 44",5.8
2015,Indian Languages- Other Indian Languages,"Total","45 - 49",4.1
2015,Indian Languages- Other Indian Languages,"Total","50 - 54",2.7
2015,Indian Languages- Other Indian Languages,"Total","55 - 59",1.2
2015,Indian Languages- Other Indian Languages,"Total","60 - 64",1.1
2015,Indian Languages- Other Indian Languages,"Total","65 - 69",0.5
2015,Indian Languages- Other Indian Languages,"Total","70 - 74",0.4
2015,Indian Languages- Other Indian Languages,"Total","75 & Over",1.3
2015,Others,"Total","5 - 9",2
2015,Others,"Total","10 - 14",2
2015,Others,"Total","15 - 19",2.6
2015,Others,"Total","20 - 24",1.3
2015,Others,"Total","25 - 29",1.3
2015,Others,"Total","30 - 34",3.1
2015,Others,"Total","35 - 39",4.8
2015,Others,"Total","40 - 44",5.8
2015,Others,"Total","45 - 49",4.1
2015,Others,"Total","50 - 54",2.3
2015,Others,"Total","55 - 59",1.9
2015,Others,"Total","60 - 64",0.5
2015,Others,"Total","65 - 69",0.4
2015,Others,"Total","70 - 74",0.2
2015,Others,"Total","75 & Over",0.1
