Clinic Name,Address,Telephone,Type
Ace Dental Centre,"338 Ang Mo Kio Avenue 1, #01 - 1669,
Singapore - 560338",Tel: 64541993,Type: Dental
Ace Family Dentalcare,"56 New Upper Changi Road, #01 - 1288,
Singapore - 461056",Tel: 64488495,Type: Dental
ACMS MEDICAL CLINIC,"01 GRANGE ROAD, #06 - 06, ORCHARD BUILDING,
Singapore - 239693",Tel: 62625051,Type: Medical
ACUMED MEDICAL GROUP,"14 TUAS AVENUE 1, #01 - 05, JTC Space @ Tuas,
Singapore - 639499",Tel: 65663311,Type: Medical
Acumed Medical Group (Bedok),"214 Bedok North Street 1, #01 - 165,
Singapore - 460214",Tel: 64438077,Type: Medical
Acumed Medical Group (Boon Lay),"301 Boon Lay Way, #01 - 18/19, Boon Lay Mrt Station,
Singapore - 649846",Tel: 65159919,Type: Medical
Acumed Medical Group (Joo Koon),"1 Joo Koon Circle, #01 - 23, FAIRPRICE HUB,
Singapore - 629117",Tel:,Type: Medical
Acumed Medical Group (Jurong Point),"01 Jurong West Central 2, #B1A - 19E, Jurong Point Shopping Centre,
Singapore - 648886",Tel: 67923822,Type: Medical
Acumed Medical Group (Raffles Place Clinic),"16 Collyer Quay, #02 - 03, Income at Raffles,
Singapore - 049318",Tel: 65327766,Type:
Acumed Medical Group (Taman Jurong),"64 Yung Kuang Road, #01 - 107/111,
Singapore - 610064",Tel: 62656422,Type: Medical
Acumed Medical Group (Teban Gdns),"38 Teban Gardens Road, #01 - 318/319,
Singapore - 600038",Tel: 65619366,Type: Medical
Acumed Medical Group (Tuas Amenity Centre),"71 Pioneer Road, #01 - 06, Tuas Amenity Centre,
Singapore - 639591",Tel: 68615996,Type: Medical
Acumed Medical Group (Woodlands),"303 Woodlands Street 31, #01 - 185,
Singapore - 730303",Tel: 63627789,Type: Medical
ACUMED MEDICAL GROUP(Compassvale),"215C COMPASSVALE DRIVE, #01 - 02,
Singapore - 543215",Tel: 63850113,Type: Medical
Acumed Medical Group(TUAS),"128 TUAS SOUTH AVENUE 3, #01 - 03, JTC BIOMED ONE @ TUAS BIOMEDICAL PARK,
Singapore - 637370",Tel: 65701390,Type: Medical
Adidah Family Clinic & Surgery,"821 Tampines Street 81, #01 - 210,
Singapore - 520821",Tel: 67845435,Type: Medical
ADMIRALTY FAMILY MEDICAL CLINIC,"693 WOODLANDS AVENUE 6, #01 - 08,
Singapore - 730693",Tel: 69048894,Type: Medical
ADVANCE CLINIC & SURGERY PTE LTD,"301 UBI AVE 1, #01 - 269,
Singapore - 400301",Tel: 67421156,Type: Medical
Advanced Dental Ang Mo Kio,"449 Ang Mo Kio Ave 10, #01 - 1719,
Singapore - 560449",Tel: 6904 9909,Type: Dental
Advanced Dental Clinic Bedok Pte Ltd,"56 NEW UPPER CHANGI ROAD, #01 - 1294,
Singapore - 461056",Tel: 64490246,Type: Dental
Advanced Dental Clinic Bukit Panjang Pte Ltd,"258 Bukit Panjang Ring Road, #01 - 60,
Singapore - 670258",Tel: 67662663,Type: Dental
Advanced Dental Clinic Jurong West Pte Ltd,"498 Jurong West Street 41, #01 - 482,
Singapore - 640498",Tel: 65650054,Type: Dental
Advanced Dental Clinic Serangoon Pte Ltd,"254 Serangoon Central Drive, #01 - 213,
Singapore - 550254",Tel: 62801011,Type: Dental
Advanced Dental Clinic Toa Payoh Pte Ltd,"18 Lorong 7 Toa Payoh, #1 - 256,
Singapore - 310018",Tel: 63975411,Type: Dental
ADVANCED DENTAL CLINIC WHAMPOA PTE LTD,"88 Whampoa Drive, #01 - 853,
Singapore - 320088",Tel: 63520828,Type: Dental
Advanced Dental Surgery Tampines Pte Ltd,"482 Tampines Street 43, #01 - 238,
Singapore - 520482",Tel: 67892628,Type: Dental
Advent Dental Surgery Pte Ltd,"530A Jurong West Ave 1, #01 - 907,
Singapore - 641530",Tel: 66596778,Type: Dental
AE Medical Clinic,"467B FERNVALE LINK, #01 - 529,
Singapore - 792467",Tel: 68162900,Type: Medical
Aelite Implant & Dental Center Pte Ltd,"144 Upper Bukit Timah Road, #1 - 05/06, Beauty World Centre,
Singapore - 588177",Tel: 64631855,Type: Dental
Aesthetic Dental Care,"133 Cecil Street, #04 - 01, Keck Seng Tower,
Singapore - 069535",Tel: 62262296,Type: Dental
Aesthetics Dental Surgery,"3 Killiney Road, #09 - 01, Winsland House 1,
Singapore - 239519",Tel: 63333233,Type: Dental
Affinity Medical Clinic,"253 SERANGOON CENTRAL DRIVE, #01 - 187,
Singapore - 550253",Tel: 62808080,Type: Medical
AICARE FAMILY CLINIC,"83 LORONG 2 TOA PAYOH, #01 - 457, TOA PAYOH PEAKVIEW,
Singapore - 310083",Tel: 62667820,Type: Medical
Alda Dental Surgery,"48 Tanglin Halt Road, #01 - 337,
Singapore - 142048",Tel: 64757113,Type: Dental
Alexandra Family Clinic & Surgery,"57 Dawson Road, #02 - 02,
Singapore - 142057",Tel: 64797022,Type: Medical
Align Braces Clinic,"68 Orchard Rd, #04 - 33, Plaza Singapura ,
Singapore - 238839",Tel: 65130686,Type:
Aljunied Dental Surgery,"119 Aljunied Avenue 2, #01 - 70,
Singapore - 380119",Tel: 67485838,Type: Dental
"Allergy, Arthritis & Rheumatism Clinic","06 Napier Road, #09 - 43526, Gleneagles Medical Centre,
Singapore - 258499",Tel: 64749438,Type: Medical
"Allergy, Arthritis & Rheumatism Clinic (Farrer Park)","01 FARRER PARK STATION ROAD, #14 - 13, CONNEXION,
Singapore - 217562",Tel: 66362945,Type: Medical
ALLHEALTH FAMILY CLINIC,"872C TAMPINES STREET 86, #01 - 01,
Singapore - 523872",Tel: 67026467,Type: Medical
Alliance Clinic & Partners Pte Ltd,"652 Jalan Tenaga, #01 - 50,
Singapore - 410652",Tel: 68469585,Type: Medical
Allsmiles Dental Care Plus,"502 Jurong West Ave 1, #01 - 805,
Singapore - 640502",Tel: 68996828,Type: Dental
Allsmiles Dental Care Pte Ltd,"502 Jurong West Avenue 1, #01 - 817,
Singapore - 640502",Tel: 65692988,Type: Dental
Aloha Dental Clinic,"14 Scotts Road, #04 - 125, Far East Plaza,
Singapore - 228213",Tel: 67332268,Type: Dental
Alpha Dental Group,"8 Shenton Way, #01 - 13/14, Temasek Tower,
Singapore - 068811",Tel: 62248003,Type: Dental
AMDA INTERNATIONAL PEACE CLINIC,"501 ORCHARD ROAD, #05 - 01, WHEELOCK PLACE,
Singapore - 238880",Tel: 62724145,Type: Medical
Amical Dental Surgery,"827 Tampines Street 81, #01 - 132,
Singapore - 520827",Tel: 67866286,Type: Dental
AMITY MEDICAL CLINIC & DENTAL SURGERY,"371 Bukit Batok Street 31, #01 - 0314,
Singapore - 650371",Tel: 65609292,Type: Dental
AMITY MEDICAL CLINIC & DENTAL SURGERY,"371 Bukit Batok Street 31, #01 - 314,
Singapore - 650371",Tel: 65609292,Type: Medical
Amk Central Dental Surgery,"726 Ang Mo Kio Avenue 6, #01 - 4162,
Singapore - 560726",Tel: 64557930,Type: Dental
AMK Family Clinic Pte Ltd,"51 Ang Mo Kio Avenue 3, #01 - 01, No 51 @ Amk,
Singapore - 569922",Tel: 64544204,Type: Medical
Amoy Street Dental,"40 Amoy Street,
Singapore - 069866",Tel: 62220553,Type: Dental
AMPM Family Clinic & Surgery Pte Ltd,"123 Toa Payoh Lorong 1, #01 - 521,
Singapore - 310123",Tel: 62530917,Type: Medical
Ang Dental Surgery,"304 Orchard Road, #06 - 34/35, Lucky Plaza,
Singapore - 238863",Tel: 62359976,Type: Dental
Ang Mo Kio Dental Surgery,"157 Ang Mo Kio Avenue 4, #01 - 560,
Singapore - 560157",Tel: 64522884,Type: Dental
ANG MO KIO FAMILY MEDICINE CLINIC,"4190 ANG MO KIO AVENUE 6, #03 - 01, BROADWAY PLAZA,
Singapore - 569841",Tel: 65541133,Type: Medical
Ang Mo Kio Medical Centre,"157 Ang Mo Kio Avenue 4, #01 - 558,
Singapore - 560157",Tel: 64570273,Type: Medical
Ann Arbor Dental Surgery Pte Ltd,"5 Tampines Street 32, #02 - 06, Tampines Mart,
Singapore - 529284",Tel: 67887827,Type: Dental
Ansari Family Clinic And Surgery,"78 Lorong 25A Geylang Road,
Singapore - 388259",Tel: 67430714,Type: Medical
ANTEH DISPENSARY PTE LTD,"01 LORONG 22 GEYLANG, #01 - 02, GRANDVIEW SUITES,
Singapore - 398664",Tel: 67441809,Type: Medical
Apex Clinic & Surgery,"844 Yishun Street 81, #01 - 162,
Singapore - 760844",Tel: 67535621,Type: Medical
Apex Clinic & Surgery,"306 Woodlands Street 31, #01 - 39,
Singapore - 730306",Tel: 63677710,Type: Medical
Apex Dental Surgery,"632 Ang Mo Kio Avenue 4, #01 - 956,
Singapore - 560632",Tel: 64548091,Type: Medical
Apex Medical Centre (Jurong) Pte Ltd,"960 Jurong West Street 92, #01 - 172,
Singapore - 640960",Tel: 67912292,Type: Medical
Apollo Medical Centre,"668 Chander Road, #01 - 24,
Singapore - 210668",Tel: 62962777,Type: Medical
AR-RAUDHAH MEDICAL CLINIC AND SURGERY PTE LTD,"372 BUKIT BATOK STREET 31, #01 - 386,
Singapore - 650372",Tel: 65668454,Type: Medical
Arcadia Clinic,"02 Pandan Valley, #01 - 211,
Singapore - 597626",Tel: 64695122,Type: Medical
Ascension Dental Clinic,"235 Jurong East Street 21, #01 - 318,
Singapore - 600235",Tel: 65657377,Type: Dental
Asia Healthpartners,"304 Orchard Road, #05 - 06, Lucky Plaza,
Singapore - 238863",Tel: 62357888,Type: Medical
Asiamedic Wellness Assessment Centre,"350 ORCHARD ROAD, #08 - 00, SHAW HOUSE,
Singapore - 238868",Tel: 6789888,Type: Medical
Aspen Clinic,"283 Bishan Street 22, #01 - 185,
Singapore - 570283",Tel: 64553829,Type: Medical
Associate Dispensaries,"94 Toa Payoh Lorong 4, #01 - 20,
Singapore - 310094",Tel: 62562308,Type: Medical
ASSURANCE MEDICARE CLINIC AND SURGERY,"370 TANJONG KATONG ROAD,
Singapore - 437127",Tel: 63457810,Type: Medical
Atlantic Dental Surgery,"189 Selegie Road, #01 - 05, Selegie Centre,
Singapore - 188332",Tel: 63387157,Type: Dental
ATLAS PACIFIC MEDICAL,"428 RIVER VALLEY ROAD, #01 - 10, LOFT @ NATHAN,
Singapore - 248327",Tel: 63869098,Type: Medical
Atria Pan Dental Group Pte Ltd,"290 Orchard Road, #19 - 1, Paragon,
Singapore - 238859",Tel: 67333133,Type: Dental
Atria-City Dental Group Pte Ltd,"391-B Orchard Road, #08 - 08, Ngee Ann City Tower B,
Singapore - 238874",Tel: 67372777,Type: Dental
Atria-Pan Dental Group Pte Ltd (Pandan Gardens),"415 Pandan Gardens, #01 - 118,
Singapore - 600415",Tel: 65667781,Type: Dental
Atrio Family Clinic,"291 Yishun Street 22, #01 - 349,
Singapore - 760291",Tel: 67520838,Type: Medical
Atrio Family Clinic (Amk) Pte. Ltd.,"532 Ang Mo Kio Avenue 10, #01 - 2461, Cheng San Centre,
Singapore - 560532",Tel: 64554280,Type: Medical
Audrey & Alexander Centre For General Dentistry,"8 Sinaran Drive, #05 - 17, Novena Specialist Center,
Singapore - 307470",Tel: 66841744,Type: Dental
AURA DENTAL CLINIC,"290 ORCHARD ROAD, #20 - 02, PARAGON,
Singapore - 238859",Tel: 62353188,Type: Dental
Azure Dental,"22 Sixth Avenue,
Singapore - 276480",Tel: 64636318,Type: Dental
B & F Dental Clinic,"11 Anamalai Ave,
Singapore - 279982",Tel: 69097664,Type:
B K Lim Dental Surgery,"632 Bedok Reservoir Road, #01 - 822,
Singapore - 470632",Tel: 64483328,Type: Dental
B T Goh Family Clinic & Surgery,"194 Kim Keat Avenue, #01 - 406,
Singapore - 310194",Tel: 63544535,Type: Medical
B9 Dental Centre,"449 Clementi Avenue 3, #01 - 261,
Singapore - 120449",Tel: 67778988,Type: Dental
B9 Dental Centre (Tanjong Pagar),"7 Tanjong Pagar Centre, #1 - B1-17,
Singapore - 078884",Tel: 67743298,Type: Dental
B9 Dental Centre (The Star),"1 Vista Exchange Green, #01 - 02, The Star,
Singapore - 138617",Tel: 63348988,Type: Dental
B9 Dental Centre (Toa Payoh),"520 Toa Payoh Lorong 6 , #01 - 64, HDB Hub,
Singapore - 310520",Tel: 62518988,Type: Dental
Balestier Clinic And Health Screening Centre,"221 Balestier Road, #03 - 04, Rocca Balestier,
Singapore - 329928",Tel: 62588798,Type: Medical
Balestier Dental Surgery,"10 Whampoa Drive,
Singapore - 327720",Tel: 62501997,Type: Dental
Balkis Family Clinic,"631 Bedok Reservoir Road, #01 - 968,
Singapore - 470631",Tel: 64454711,Type: Medical
Banyan Clinic @ Jw,"502 Jurong West Avenue 1, #01 - 817,
Singapore - 640502",Tel: 68991161,Type: Medical
Banyan Clinic Pte Ltd,"768 Woodlands Avenue 6, #02 - 04, Woodlands Mart,
Singapore - 730768",Tel: 63652001,Type: Medical
Bedok Central Clinic,"214 Bedok North Street 1, #01 - 161,
Singapore - 460214",Tel: 62424489,Type: Medical
Bedok Clinic & Surgery (Family Medical Centre),"17 Bedok South Road, #01 - 565,
Singapore - 460017",Tel: 62410943,Type: Medical
Bedok Family Clinic & Surgery,"218 Bedok North Street 1, #01 - 17,
Singapore - 460218",Tel: 64410236,Type: Medical
Bedok Life Clinic,"123 Bedok North Street 2, #01 - 160,
Singapore - 460123",Tel: 64431398,Type: Medical
Bedok Medical Centre,"18 Bedok South Road, #01 - 57,
Singapore - 460018",Tel: 62414111,Type: Medical
BEDOK MEDICAL CENTRE,"18 BEDOK SOUTH RD, #01 - 57,
Singapore - 460018",Tel: 62414111,Type: Medical
Bedok North Dental Surgery,"530 Bedok North Street 3, #01 - 630,
Singapore - 460530",Tel: 62420491,Type: Dental
Bedok Town Dental Surgery,"418 Bedok North Avenue 2, #01 - 69,
Singapore - 460418",Tel: 64466356,Type: Dental
Beo Crescent Family Clinic & Surgery,"40 Beo Crescent, #01 - 02,
Singapore - 160040",Tel: 62750269,Type: Medical
Bernard Tan Dental Surgery,"63a Lengkok Bahru, #01 - 376,
Singapore - 151063",Tel: 64711921,Type: Dental
Bethel Dental Surgery,"1 Jelebu Road, #01 - 63, Bukit Panjang Plaza,
Singapore - 677743",Tel: 67678086,Type: Dental
Bethesda Dental Surgery,"25 New Upper Changi Road, #01 - 632,
Singapore - 462025",Tel: 62412200,Type: Dental
Bethesda Medical Centre Pte Ltd,"03 Temasek Boulevard, #03 - 330, Suntec City Mall,
Singapore - 38983",Tel: 63378933,Type: Medical
Bishan Grace Clinic,"150 Bishan Street 11, #01 - 151,
Singapore - 570150",Tel: 62542232,Type: Medical
BL Medical Associates Pte Ltd,"02 Science Park Drive, #01 - 10, ASCENT,
Singapore - 118222",Tel: 67782010,Type: Medical
Bless Medical Centre,"221 Boon Lay Place, #01 - 108, Boon Lay Shopping Centre,
Singapore - 640221",Tel: 62664119,Type: Medical
Bok Family Clinic Pte Ltd,"117 Bedok Reservoir Road, #01 - 58,
Singapore - 470117",Tel: 67490275,Type: Medical
Boon Keng Clinic & Surgery,"11 Upper Boon Keng Road, #01 - 919,
Singapore - 380011",Tel: 67465456,Type: Medical
Boon Lay Central Clinic,"221 Boon Lay Place, #01 - 242, Boon Lay Shopping Centre,
Singapore - 640221",Tel: 62655996,Type: Medical
Boon Lay Clinic & Surgery,"221 Boon Lay Place, #01 - 240/244, Boon Lay Shopping Centre,
Singapore - 640221",Tel: 62655247,Type: Medical
BOON LAY CORPORATION CLINIC,"350 JURONG EAST AVENUE 1, #01 - 1225,
Singapore - 600350",Tel: 68994569,Type: Medical
Boon Lay Dental Surgery Pte Ltd,"350 Jurong East Avenue 1, #01 - 1241,
Singapore - 600350",Tel: 62615882,Type: Dental
BOSTON MEDICAL,"119 ALJUNIED AVENUE 2, #01 - 72,
Singapore - 380119",Tel: 67482884,Type: Medical
BRADDELL FAMILY CLINIC,"124 LORONG 1 TOA PAYOH, #01 - 489,
Singapore - 310124",Tel: 62536288,Type: Medical
Brickworks Dental Surgery,"1 Jalan Bukit Merah, #01 - 4538,
Singapore - 150001",Tel: 62718888,Type: Dental
Bright Dental Surgery Pte. Ltd.,"1016 Upper Serangoon Road,
Singapore - 534754",Tel: 62800701,Type: Dental
Bright Smile Dental Surgery Pte. Ltd.,"18 Jalan Membina, #01 - 05,
Singapore - 164018",Tel: 62746800,Type: Dental
Brilliant Dental Surgery,"166 Woodlands Street 13, #01 - 551,
Singapore - 730166",Tel: 63652189,Type: Dental
British Dental Surgery Pte Ltd,"307 Choa Chu Kang Avenue 4, #01 - 693,
Singapore - 680307",Tel: 67653323,Type: Dental
Broadsmile Dental Clinic,"56 New Upper Changi Road, #01 - 1316,
Singapore - 461056",Tel: 64496198,Type: Dental
Bukit Batok Dental Surgery Pte Ltd,"207 Bukit Batok Street 21, #01 - 114,
Singapore - 650207",Tel: 65603311,Type: Dental
Bukit Batok Medical Clinic,"207 Bukit Batok Street 21, #01 - 114,
Singapore - 650207",Tel: 65603311,Type: Medical
Bukit Panjang Dental Surgery,"103 Gangsa Road, #01 - 37,
Singapore - 670103",Tel: 67621021,Type: Dental
Bukit Timah Clinic,"621A Bukit Timah Road,
Singapore - 269731",Tel: 64665458,Type: Medical
Bukit Timah Nam Sang Clinic,"80 Jalan Jurong Kechil,
Singapore - 598591",Tel: 64690760,Type: Medical
Bukit Timah Nam Seng Dental Surgery Pte Ltd,"144 Upper Bukit Timah Road, #01 - 16, Beauty World Centre,
Singapore - 588177",Tel: 64660043,Type: Dental
Buona Vista Dental Surgery,"211 Holland Avenue, #03 - 45, Holland Road Shopping Centre,
Singapore - 278967",Tel: 64668095,Type: Dental
Burlinson Dental Surgery,"697 East Coast Road, #01 - 01,
Singapore - 459060",Tel: 62413088,Type: Dental
Bvh Community And Continuing Care Clinic,"05 Lorong Napiri, Bright Vision Hospital (Level 2),
Singapore - 547530",Tel: 62485749,Type: Medical
C & A Dental Studio - Holland Village,"23A Lorong Mambong, Holland Village,
Singapore - 277682",Tel: 64687847,Type: Dental
C & A Dental Studio @ Parkway Parade Pte Ltd,"80 Marine Parade Road, #05 - 14, Parkway Parade,
Singapore - 449269",Tel: 63455453,Type: Dental
C & A Dental Studio @ Thomson,"244-L Upper Thomson Road,
Singapore - 574369",Tel: 64531233,Type: Dental
C & A Dental Studio @ UE Square,"81 Clemenceau Avenue, #03 - 20A, Ue Square,
Singapore - 239917",Tel: 67388722,Type: Dental
C & K Family Clinic Pte Ltd,"108 Upper East Coast Road,
Singapore - 455297",Tel: 62429588,Type: Medical
C H Tan Medical Clinic & Dental Surgery,"177 Bukit Batok West Avenue 8, #01 - 259,
Singapore - 650177",Tel: 65618712,Type: Medical
C K Tan Family Clinic & Surgery Pte Ltd,"125 Toa Payoh Lorong 1, #01 - 537,
Singapore - 310125",Tel: 62514438,Type: Medical
C Y Kok Clinic & Surgery,"157 Ang Mo Kio Avenue 4, #01 - 562,
Singapore - 560157",Tel: 64584777,Type: Medical
C.M.C. Wong Binjai Clinic,"15 Binjai Park,
Singapore - 589824",Tel: 64693737,Type: Medical
C3 FAMILY CLINIC @ALJUNIED CRESCENT,"95 ALJUNIED CRESCENT, #01 - 509, MACPHERSON VIEW,
Singapore - 380095",Tel: 67422285,Type: Medical
CALROSE MEDICAL FAMILY CLINIC,"231A SUMANG LANE, #01 - 05, MATILDA COURT,
Singapore - 821231",Tel:,Type: Medical
CAMRY MEDICAL CENTRE,"95 Toa Payoh Lorong 4, #01 - 66,
Singapore - 310095",Tel: 62580553,Type: Medical
Canaan Dental Surgery Pte Ltd,"29 Upper East Coast Road, Crescendo Building,
Singapore - 455291",Tel: 64420293,Type: Dental
CANBERRA CARE MEDICAL CLINIC,"120 CANBERRA CRESCENT, #01 - 04, MULTI STOREY CAR PARK,
Singapore - 750120",Tel: 64831128,Type: Medical
Canberra Medical Aesthetics,"306A Canberra Road, #01 - 01, Multi Storey Car Park,
Singapore - 751306",Tel: 68520500,Type: Medical
Care Family Clinic,"663 Buffalo Road, #01 - 12,
Singapore - 210663",Tel: 62995868,Type: Medical
Careway Dental Surgery,"505 Tampines Central 1, #01 - 339,
Singapore - 520505",Tel: 67865108,Type: Dental
Caring Dental,"111 Toa Payoh Lorong 1 , #01 - 362,
Singapore - 310111",Tel: 63522282,Type: Dental
Caring Dental Punggol,"665a Punggol Drive, #01 - 02,
Singapore - 821665",Tel: 64816833,Type: Medical
Caring Dental Sengkang,"473a Fernvale Street, #01 - 01,
Singapore - 791473",Tel: 66346689,Type: Dental
Caring Family Clinic,"501 Jurong West Street 51, #01 - 271,
Singapore - 640501",Tel: 65645677,Type: Medical
Caritas Clinic,"304 Ubi Avenue 1, #01 - 127,
Singapore - 400304",Tel: 67489284,Type: Medical
Casa Dental (AMK),"710 Ang Mo Kio Ave 8, #01 - 2611,
Singapore - 560710",Tel: 64580667,Type: Dental
Casa Dental (Clementi) Pte Ltd,"420A Clementi Avenue 1, #01 - 02, Casa Clementi,
Singapore - 121420",Tel: 63346984,Type: Dental
Casa Dental (Holland) Pte. Ltd,"45 Holland Drive, #01 - 353,
Singapore - 270045",Tel: 68730451,Type:
Cashew Medical & Surgery,"445 Fajar Road, #02 - 522, Fajar Shopping Centre,
Singapore - 670445",Tel: 67634255,Type: Medical
Cassia Clinic & Surgery,"34 Cassia Crescent, #01 - 76,
Singapore - 390034",Tel: 63464260,Type: Medical
CCK Family Clinic,"304 Choa Chu Kang Avenue 4, #01 - 653,
Singapore - 680304",Tel: 68910338,Type: Medical
Cecilia Family Clinic & Surgery,"484 Tampines Street 43, #01 - 224,
Singapore - 520484",Tel: 67883812,Type: Medical
CENTRAL 24-HR CLINIC ( PIONEER NORTH ),"959 JURONG WEST STREET 92, #01 - 160,
Singapore - 640959",Tel: 63437731,Type: Medical
Central 24-Hr Clinic (Bedok),"219 Bedok Central, #01 - 124, Multi Storey Car Park,
Singapore - 460219",Tel: 62476122,Type: Medical
Central 24-Hr Clinic (Clementi),"450 Clementi Avenue 3, #01 - 291,
Singapore - 120450",Tel: 67732925,Type: Medical
Central 24-Hr Clinic (Hougang),"681 Hougang Avenue 8, #01 - 831,
Singapore - 530681",Tel: 63876965,Type: Medical
Central 24-Hr Clinic (Pasir Ris),"446 Pasir Ris Drive 6, #01 - 122,
Singapore - 510446",Tel: 65822640,Type: Medical
CENTRAL 24-HR CLINIC (TAMPINES),"201D TAMPINES STREET 21, #01 - 1151,
Singapore - 524201",Tel: 63437731,Type: Medical
Central 24-Hr Clinic (Woodlands),"768 Woodlands Avenue 6, #02 - 06A, Woodlands Mart,
Singapore - 730768",Tel: 63876787,Type: Medical
Central 24-Hr Clinic (Yishun),"701A Yishun Avenue 5, #01 - 04,
Singapore - 761701",Tel: 67597985,Type: Medical
Central 24hr Clinic (Jurong West),"492 Jurong West Street 41, #01 - 54,
Singapore - 640492",Tel: 65657484,Type: Medical
Central Medical Group Pte Ltd,"11 Jalan Bukit Merah, #01 - 4442,
Singapore - 150011",Tel: 62722212,Type: Medical
Century Dental Care Pte Ltd,"25 Bendemeer Road, #01 - 567, Bendemeer Ville,
Singapore - 330025",Tel: 63960306,Type:
Chai Chee Clinic & Surgery,"25A Chai Chee Road, #01 - 453,
Singapore - 461025",Tel: 62441231,Type: Medical
Chan Dental Clinic & Surgery,"22 Yio Chu Kang Road, #01 - 17, Highland Centre,
Singapore - 545535",Tel: 62825903,Type: Dental
Chan Family Clinic,"865 Mountbatten Road, #02 - 81H, Katong Shopping Centre,
Singapore - 437844",Tel: 63454683,Type: Medical
Chan Mee Family Dentalcare Pte Ltd,"15 Siglap Road, #01 - 02, Mandarin Gardens,
Singapore - 448912",Tel: 67442053,Type: Dental
Chang Clinic & Surgery,"07 Everton Park, #01 - 21,
Singapore - 80007",Tel: 62216955,Type: Medical
Chang Clinic (Bt Timah Plaza),"01 Jalan Anak Bukit, #B1 - 40429, Bukit Timah Plaza,
Singapore - 588996",Tel: 64663811,Type: Medical
Changi Clinic,"848 Sims Avenue, #01 - 734, Eunosville,
Singapore - 400848",Tel: 67428865,Type: Medical
Charis Clinic & Surgery,"164 Tampines Street 12, #01 - 295,
Singapore - 521164",Tel: 67822332,Type: Medical
Charis Dental Surgery,"465 Crawford Lane, #02 - 28,
Singapore - 190465",Tel: 62986556,Type: Dental
Charismile Dentistry,"10 Anson Road, #02 - 47, International Plaza,
Singapore - 079903",Tel: 65572655,Type: Dental
Charles Dental Surgery,"481 Tampines Street 44, #01 - 271,
Singapore - 520481",Tel: 67883829,Type: Dental
Chen Dental Surgery,"463 Jurong West Street 41, #01 - 560,
Singapore - 640463",Tel: 65647809,Type: Dental
Chen Family Clinic,"153 Serangoon North Avenue 1, #01 - 490,
Singapore - 550153",Tel: 62812212,Type: Medical
Cheng Clinic,"447 Ang Mo Kio Avenue 10, #01 - 1677,
Singapore - 560447",Tel: 64542482,Type: Medical
